Pattern,X1,X2,X3,X4,X5,X6
115543,Earth,Earth,Null,Null,Jupiter,Mars
115545,Earth,Earth,Null,Null,Jupiter,Null
115542,Earth,Earth,Null,Null,Jupiter,Venus
115531,Earth,Earth,Null,Null,Mars,Earth
115534,Earth,Earth,Null,Null,Mars,Jupiter
115533,Earth,Earth,Null,Null,Mars,Mars
115535,Earth,Earth,Null,Null,Mars,Null
115532,Earth,Earth,Null,Null,Mars,Venus
115551,Earth,Earth,Null,Null,Null,Earth
115554,Earth,Earth,Null,Null,Null,Jupiter
115553,Earth,Earth,Null,Null,Null,Mars
115555,Earth,Earth,Null,Null,Null,Null
115552,Earth,Earth,Null,Null,Null,Venus
115521,Earth,Earth,Null,Null,Venus,Earth
115524,Earth,Earth,Null,Null,Venus,Jupiter
115523,Earth,Earth,Null,Null,Venus,Mars
115525,Earth,Earth,Null,Null,Venus,Null
115522,Earth,Earth,Null,Null,Venus,Venus
115211,Earth,Earth,Null,Venus,Earth,Earth
115214,Earth,Earth,Null,Venus,Earth,Jupiter
115213,Earth,Earth,Null,Venus,Earth,Mars
115215,Earth,Earth,Null,Venus,Earth,Null
115212,Earth,Earth,Null,Venus,Earth,Venus
115241,Earth,Earth,Null,Venus,Jupiter,Earth
115244,Earth,Earth,Null,Venus,Jupiter,Jupiter
115243,Earth,Earth,Null,Venus,Jupiter,Mars
115245,Earth,Earth,Null,Venus,Jupiter,Null
115242,Earth,Earth,Null,Venus,Jupiter,Venus
115231,Earth,Earth,Null,Venus,Mars,Earth
115234,Earth,Earth,Null,Venus,Mars,Jupiter
115233,Earth,Earth,Null,Venus,Mars,Mars
115235,Earth,Earth,Null,Venus,Mars,Null
115232,Earth,Earth,Null,Venus,Mars,Venus
115251,Earth,Earth,Null,Venus,Null,Earth
115254,Earth,Earth,Null,Venus,Null,Jupiter
115253,Earth,Earth,Null,Venus,Null,Mars
115255,Earth,Earth,Null,Venus,Null,Null
115252,Earth,Earth,Null,Venus,Null,Venus
115221,Earth,Earth,Null,Venus,Venus,Earth
115224,Earth,Earth,Null,Venus,Venus,Jupiter
115223,Earth,Earth,Null,Venus,Venus,Mars
