Pattern,X1,X2,X3,X4,X5,X6
351133,Mars,Null,Earth,Earth,Mars,Mars
351135,Mars,Null,Earth,Earth,Mars,Null
351132,Mars,Null,Earth,Earth,Mars,Venus
351151,Mars,Null,Earth,Earth,Null,Earth
351154,Mars,Null,Earth,Earth,Null,Jupiter
351153,Mars,Null,Earth,Earth,Null,Mars
351155,Mars,Null,Earth,Earth,Null,Null
351152,Mars,Null,Earth,Earth,Null,Venus
351121,Mars,Null,Earth,Earth,Venus,Earth
351124,Mars,Null,Earth,Earth,Venus,Jupiter
351123,Mars,Null,Earth,Earth,Venus,Mars
351125,Mars,Null,Earth,Earth,Venus,Null
351122,Mars,Null,Earth,Earth,Venus,Venus
351411,Mars,Null,Earth,Jupiter,Earth,Earth
351414,Mars,Null,Earth,Jupiter,Earth,Jupiter
351413,Mars,Null,Earth,Jupiter,Earth,Mars
351415,Mars,Null,Earth,Jupiter,Earth,Null
351412,Mars,Null,Earth,Jupiter,Earth,Venus
351441,Mars,Null,Earth,Jupiter,Jupiter,Earth
351444,Mars,Null,Earth,Jupiter,Jupiter,Jupiter
351443,Mars,Null,Earth,Jupiter,Jupiter,Mars
351445,Mars,Null,Earth,Jupiter,Jupiter,Null
351442,Mars,Null,Earth,Jupiter,Jupiter,Venus
351431,Mars,Null,Earth,Jupiter,Mars,Earth
351434,Mars,Null,Earth,Jupiter,Mars,Jupiter
351433,Mars,Null,Earth,Jupiter,Mars,Mars
351435,Mars,Null,Earth,Jupiter,Mars,Null
351432,Mars,Null,Earth,Jupiter,Mars,Venus
351451,Mars,Null,Earth,Jupiter,Null,Earth
351454,Mars,Null,Earth,Jupiter,Null,Jupiter
351453,Mars,Null,Earth,Jupiter,Null,Mars
351455,Mars,Null,Earth,Jupiter,Null,Null
351452,Mars,Null,Earth,Jupiter,Null,Venus
351421,Mars,Null,Earth,Jupiter,Venus,Earth
351424,Mars,Null,Earth,Jupiter,Venus,Jupiter
351423,Mars,Null,Earth,Jupiter,Venus,Mars
351425,Mars,Null,Earth,Jupiter,Venus,Null
351422,Mars,Null,Earth,Jupiter,Venus,Venus
351311,Mars,Null,Earth,Mars,Earth,Earth
351314,Mars,Null,Earth,Mars,Earth,Jupiter
351313,Mars,Null,Earth,Mars,Earth,Mars
351315,Mars,Null,Earth,Mars,Earth,Null
351312,Mars,Null,Earth,Mars,Earth,Venus
351341,Mars,Null,Earth,Mars,Jupiter,Earth
351344,Mars,Null,Earth,Mars,Jupiter,Jupiter
