case_no,global_algo,local_algo,DV_Glob,tof_Glob,DV,tof,champion
24,DE_1220,NLOPT-MMA,FAILED,,,,
23,DE_1220,NLOPT-SLSQP,7716.119628326005,3430.835632521892,7716.119628326005,3430.835632521892,"[-7.63520010e+02  8.17168034e-01  5.66917027e-01  3.68011430e+03
  4.44438503e-01  3.33905108e-02  4.66023830e+00  2.77514701e+01
  1.37970947e-02  1.47596145e-01 -1.58051049e+00  1.46691348e+00
  2.05715774e-02  2.06892593e-01 -1.40739827e+00  7.03832304e+01
  3.54812309e-02  9.69759714e-01]"
17,GACO,NLOPT-SLSQP,4022.0038494420833,3497.877246247239,4022.0038494420833,3497.877246247239,"[-9.36399054e+02  6.77451434e-01  6.61310982e-01  4.99999952e+03
  5.59066059e-01  8.08589487e-02  5.06539281e+00  1.10000082e+00
  3.34293229e-01  1.56203932e-01  4.77072953e+00  1.10000000e+00
  1.00000733e-02  2.18355429e-01  4.76298273e+00  8.63721288e+01
  1.13616824e-02  9.98999533e-01]"
2,SADE,NLOPT-BOBYQA,3596.7325029639246,3490.1165235605786,3139.593124394885,3489.9761735741486,"[-1.08714805e+03  1.03120130e-01  3.88806749e-01  3.96669986e+03
  1.58795354e-01  2.54149885e-01 -1.79030771e+00  1.75061096e+00
  7.29801866e-02  2.34189630e-02 -1.49598993e+00  1.10212326e+00
  4.36196628e-02  2.23388588e-01  4.76351945e+00  8.43137911e+01
  1.00000000e-02  9.94937071e-01]"
16,GACO,NLOPT-COBYLA,3339.8590271013277,2943.591903744161,3339.840769836967,2943.5907044447013,"[-8.86645650e+02  7.87953619e-01  5.85722174e-01  5.00000000e+03
  3.19815609e-01  6.77431954e-02  5.04567366e+00  1.83947904e+00
  7.82410941e-01  1.53017462e-01 -1.52713995e+00  1.10000000e+00
  1.00000403e-02  1.99733541e-01  4.74608117e+00  1.21780606e+02
  2.61939171e-02  7.48416764e-01]"
18,GACO,NLOPT-MMA,FAILED,,,,
14,GACO,NLOPT-BOBYQA,2873.198962046932,3497.9721427420864,2873.1843488301743,3497.9721417199153,"[-7.34159883e+02  9.99999972e-01  3.10717171e-01  4.26588234e+03
  1.39113178e-02  4.75358010e-02 -1.55751685e+00  1.10000019e+00
  1.88483220e-02  2.20041711e-01  4.46322443e+00  1.10000001e+00
  1.00501187e-01  2.20081063e-01 -1.41681524e+00  2.27599282e+02
  1.20948002e-02  9.99000000e-01]"
31,IHS,COMPASS,29546.496256248407,3114.1187918810538,27988.63038814295,3114.1187918810538,"[-8.15366557e+02  9.00427785e-01  2.80101396e-01  4.85391527e+03
  6.04564029e-01  3.95291418e-02 -5.30593419e+00  1.32392672e+02
  1.27933658e-01  1.12519334e-01  2.71858357e+00  2.62998256e+02
  1.92058815e-01  2.14529896e-01  4.13209074e+00  2.69196817e+02
  5.42949945e-01  8.35330627e-01]"
32,IHS,NLOPT-BOBYQA,53881.62953476522,3379.849770991961,15223.907684557345,3249.3893542601963,"[-1.08543005e+03  0.00000000e+00  3.55920086e-01  4.27195019e+03
  1.46272582e-02  2.50075963e-01 -7.23862779e-01  1.31571368e+02
  1.00000000e-02  2.59020258e-02 -3.37899515e+00  2.19751991e+02
  6.56585600e-02  2.15088272e-01 -1.60340493e+00  2.95124970e+02
  8.13205451e-02  8.75120619e-01]"
33,IHS,NLOPT-PRAXIS,33952.098572474235,3151.2775148811957,17696.338298829018,3333.403875370219,"[-9.37269668e+02  3.05339797e-01  6.49687515e-01  2.53890476e+03
  2.81539635e-01  1.52703571e-01  3.63169379e+00  2.93470440e+02
  6.41241365e-01  1.84640499e-01 -3.99059362e+00  7.78360059e+01
  8.83651714e-02  2.35239252e-01 -3.22008713e+00  2.83220031e+02
  2.58026911e-02  9.09907892e-01]"
